exercise_name,stable_key,image_asset_name,mapping_confidence,needs_review,reason
링 로우,ex_282a9d87,exercise_images/stable_key/ex_282a9d87.png,HIGH,0,user_approved_stable_key_asset
버드독,ex_28347c1f,exercise_images/stable_key/ex_28347c1f.png,HIGH,0,user_approved_stable_key_asset
슈퍼맨,ex_284ecca6,exercise_images/stable_key/ex_284ecca6.png,HIGH,0,user_approved_stable_key_asset
푸시업,ex_28902b13,exercise_images/stable_key/ex_28902b13.png,HIGH,0,user_approved_stable_key_asset
해머 컬,ex_2892da5a,exercise_images/stable_key/ex_2892da5a.png,HIGH,0,user_approved_stable_key_asset
할로우 바디 홀드,ex_2a826c82,exercise_images/stable_key/ex_2a826c82.png,HIGH,0,user_approved_stable_key_asset
테니스,ex_2f3b56d0,exercise_images/stable_key/ex_2f3b56d0.png,HIGH,0,user_approved_stable_key_asset
원암 덤벨 로우,ex_30a0e9aa,exercise_images/stable_key/ex_30a0e9aa.png,HIGH,0,user_approved_stable_key_asset
원레그 홉 투 스틱,ex_314df428,exercise_images/stable_key/ex_314df428.png,HIGH,0,user_approved_stable_key_asset
오버헤드 프레스,ex_32219f7a,exercise_images/stable_key/ex_32219f7a.png,HIGH,0,user_approved_stable_key_asset
원암 랫풀다운,ex_32eb8457,exercise_images/stable_key/ex_32eb8457.png,HIGH,0,user_approved_stable_key_asset
6코너 풋워크,ex_33841b88,exercise_images/stable_key/ex_33841b88.png,HIGH,0,user_approved_stable_key_asset
원암 머신 로우,ex_33d2da8e,exercise_images/stable_key/ex_33d2da8e.png,HIGH,0,user_approved_stable_key_asset
래터럴 바운드 투 스틱,ex_34e7d21,exercise_images/stable_key/ex_34e7d21.png,HIGH,0,user_approved_stable_key_asset
스플릿 스텝 후 좌우 런지,ex_377448a9,exercise_images/stable_key/ex_377448a9.png,HIGH,0,user_approved_stable_key_asset
글루트 브릿지,ex_389920ab,exercise_images/stable_key/ex_389920ab.png,HIGH,0,user_approved_stable_key_asset
원암 덤벨 벤치프레스,ex_389e0556,exercise_images/stable_key/ex_389e0556.png,HIGH,0,user_approved_stable_key_asset
덤벨 벤치프레스,ex_3a7d3eda,exercise_images/stable_key/ex_3a7d3eda.png,HIGH,0,user_approved_stable_key_asset
케이블 원암 로우,ex_3c3692aa,exercise_images/stable_key/ex_3c3692aa.png,HIGH,0,user_approved_stable_key_asset
파이크 푸시업,ex_3caa236b,exercise_images/stable_key/ex_3caa236b.png,HIGH,0,user_approved_stable_key_asset
원암 케이블 컬,ex_3d5719de,exercise_images/stable_key/ex_3d5719de.png,HIGH,0,user_approved_stable_key_asset
