templateId,example,week,weekType,day,order,requestedSlot,requiredAnchor,role,exerciseName,stableKey,rehabLike,badmintonTransfer,stressMagnitude,capabilitySource,capabilityConfidence
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","2","BUILD","3","4","FOREARM_GRIP_ELBOW_SUPPORT","false","ACCESSORY","로프 해머 컬","ex_c1a81cb2","false","GENERAL","LOW","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","2","BUILD","5","1","HIP_HINGE_POSTERIOR_CHAIN","true","ANCHOR","싱글 레그 RDL","single_leg_rdl","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","2","BUILD","5","2","SINGLE_LEG_STRENGTH_CONTROL","false","SUPPORT","덤벨 스텝업","ex_704cbf1a","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","2","BUILD","5","3","BADMINTON_FOOTWORK_REACTION","false","TRANSFER","6방향 랜덤 콕줍기","ex_bc84eb7f","false","DIRECT","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","2","BUILD","5","4","BADMINTON_DECEL_COD","false","TRANSFER","랜덤 비프 풋워크","ex_c5f4c242","false","DIRECT","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","2","BUILD","5","5","POWER_REACTIVE_LOW_VOLUME","false","TRANSFER","스트라이드","ex_c5c2fdef","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","MODERATE"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","3","HIGH","1","1","LOWER_SQUAT_PATTERN","true","ANCHOR","래터럴 런지","ex_b4b198de","false","SUPPORTIVE","HIGH","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","3","HIGH","1","2","HIP_HINGE_POSTERIOR_CHAIN","false","SUPPORT","노르딕 햄스트링 컬","ex_1cf51b6b","false","SUPPORTIVE","VERY_HIGH","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","3","HIGH","1","3","TRUNK_ANTI_ROTATION_STABILITY","false","CORE","파머스 캐리","ex_a1fc4533","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","3","HIGH","1","4","CALF_ANKLE_CAPACITY","false","SUPPORT","스탠딩 카프 레이즈","ex_bd072cd","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","3","HIGH","3","1","UPPER_PULL_ANCHOR","true","ANCHOR","케이블 원암 로우","ex_3c3692aa","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","3","HIGH","3","2","UPPER_PUSH_SUPPORT","false","SUPPORT","푸시업","ex_28902b13","false","GENERAL","LOW","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","3","HIGH","3","3","SCAPULAR_SHOULDER_SUPPORT","false","SUPPORT","리어델트 케이블 플라이","ex_7deabeba","false","GENERAL","LOW","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","3","HIGH","3","4","FOREARM_GRIP_ELBOW_SUPPORT","false","ACCESSORY","덤벨 리스트 컬","ex_95028bfe","false","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","3","HIGH","5","1","HIP_HINGE_POSTERIOR_CHAIN","true","ANCHOR","싱글 레그 글루트 브릿지","ex_5715d6ca","false","GENERAL","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","3","HIGH","5","2","SINGLE_LEG_STRENGTH_CONTROL","false","SUPPORT","터키시 겟업","ex_91f6958d","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","MODERATE"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","3","HIGH","5","3","BADMINTON_FOOTWORK_REACTION","false","TRANSFER","랜덤 풋워크","ex_1c7f2342","false","DIRECT","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","3","HIGH","5","4","BADMINTON_DECEL_COD","false","TRANSFER","스플릿 스텝","ex_c6d9efef","false","DIRECT","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","3","HIGH","5","5","POWER_REACTIVE_LOW_VOLUME","false","TRANSFER","A스킵","ex_a12de111","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","MODERATE"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","4","DELOAD","1","1","LOWER_SQUAT_PATTERN","true","ANCHOR","싱글 레그 박스 스쿼트","ex_85f12271","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","4","DELOAD","1","2","HIP_HINGE_POSTERIOR_CHAIN","false","SUPPORT","킥스탠스 RDL","ex_885b629","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","4","DELOAD","1","3","TRUNK_ANTI_ROTATION_STABILITY","false","CORE","할로우 바디 홀드","ex_2a826c82","false","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","4","DELOAD","1","4","CALF_ANKLE_CAPACITY","false","SUPPORT","카프 레이즈","ex_f892893e","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","4","DELOAD","3","1","UPPER_PULL_ANCHOR","true","ANCHOR","스캡 풀업","ex_e1894690","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","4","DELOAD","3","2","UPPER_PUSH_SUPPORT","false","SUPPORT","덤벨 벤치프레스","ex_3a7d3eda","false","NONE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","4","DELOAD","3","3","SCAPULAR_SHOULDER_SUPPORT","false","SUPPORT","원암 리어델트 케이블 플라이","ex_a60496be","false","GENERAL","LOW","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","4","DELOAD","3","4","FOREARM_GRIP_ELBOW_SUPPORT","false","ACCESSORY","크로스바디 해머 컬","ex_b69ab702","false","GENERAL","LOW","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","4","DELOAD","5","1","HIP_HINGE_POSTERIOR_CHAIN","true","ANCHOR","B-스탠스 RDL","ex_201f6426","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","4","DELOAD","5","2","SINGLE_LEG_STRENGTH_CONTROL","false","SUPPORT","박스 스텝업","ex_6232f4bc","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","4","DELOAD","5","3","BADMINTON_FOOTWORK_REACTION","false","TRANSFER","린단 참고 페이스 체인지 풋워크","ex_5004ca76","false","DIRECT","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","4","DELOAD","5","4","BADMINTON_DECEL_COD","false","TRANSFER","랜덤 방향전환 드릴","ex_64422511","false","DIRECT","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","4","DELOAD","5","5","POWER_REACTIVE_LOW_VOLUME","false","TRANSFER","스킵 바운드","ex_c4ea0a2a","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","MODERATE"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","1","1","LOWER_SQUAT_PATTERN","true","ANCHOR","런지","ex_64644b5e","false","SUPPORTIVE","HIGH","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","1","2","SINGLE_LEG_STRENGTH_CONTROL","false","SUPPORT","래터럴 스텝다운","ex_69a56484","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","1","3","TRUNK_ANTI_ROTATION_STABILITY","false","CORE","할로우 바디 홀드","ex_2a826c82","false","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","1","4","CALF_ANKLE_CAPACITY","false","SUPPORT","시티드 카프 레이즈","ex_5c8751d2","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","3","1","UPPER_PULL_ANCHOR","true","ANCHOR","원암 케이블 하이 로우","ex_40fa57be","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","3","2","ATHLETIC_OVERHEAD_PRESS_SUPPORT","false","SUPPORT","원암 하프 닐링 프레스","ex_8380d7fe","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","3","3","SCAPULAR_SHOULDER_SUPPORT","false","SUPPORT","리어델트 플라이","ex_7176cbee","false","GENERAL","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","3","4","FOREARM_GRIP_ELBOW_SUPPORT","false","ACCESSORY","덤벨 프로네이션/수피네이션","ex_f6703b06","false","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","5","1","BADMINTON_DECEL_COD","false","TRANSFER","랜덤 방향전환 드릴","ex_64422511","false","DIRECT","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","5","2","BADMINTON_FOOTWORK_REACTION","false","TRANSFER","스플릿 스텝 후 좌우 런지","ex_377448a9","false","DIRECT","HIGH","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","5","3","CALF_ANKLE_CAPACITY","false","SUPPORT","드롭 점프","ex_d6726746","false","SUPPORTIVE","HIGH","RUNTIME_METADATA","HIGH"
