image_key,exercise_name_ko,english_name,source_zip_path,intended_asset_path,restored_asset_path,bytes,width,height,match_method
deadlift,데드리프트,데드리프트,assets/exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/20_δì░δô£δª¼φöäφè╕_deadlift.png,exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/20_데드리프트_deadlift.png,exercise_images/local_downloads/deadlift.png,107163,330,330,slug
romanian_deadlift,루마니안 데드리프트,루마니안데드리프트,assets/exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/21_δú¿δºêδïê∞òê_δì░δô£δª¼φöäφè╕_romanian_deadlift.png,exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/21_루마니안_데드리프트_romanian_deadlift.png,exercise_images/local_downloads/romanian_deadlift.png,130711,330,330,slug
dumbbell_romanian_deadlift,덤벨 루마니안 데드리프트,덤벨루마니안데드리프트,assets/exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/22_δìñδ▓¿_δú¿δºêδïê∞òê_δì░δô£δª¼φöäφè╕_dumbbell_romanian_deadlift.png,exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/22_덤벨_루마니안_데드리프트_dumbbell_romanian_deadlift.png,exercise_images/local_downloads/dumbbell_romanian_deadlift.png,121383,330,330,slug
bench_press,벤치프레스,벤치프레스,assets/exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/23_δ▓ñ∞╣ÿφöäδáê∞èñ_bench_press.png,exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/23_벤치프레스_bench_press.png,exercise_images/local_downloads/bench_press.png,120711,330,330,slug
close_grip_bench_press,클로즈그립 벤치프레스,클로즈그립벤치프레스,assets/exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/24_φü┤δí£∞ªêΩ╖╕δª╜_δ▓ñ∞╣ÿφöäδáê∞èñ_close_grip_bench_press.png,exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/24_클로즈그립_벤치프레스_close_grip_bench_press.png,exercise_images/local_downloads/close_grip_bench_press.png,121550,330,330,slug
dumbbell_bench_press,덤벨 벤치프레스,덤벨벤치프레스,assets/exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/25_δìñδ▓¿_δ▓ñ∞╣ÿφöäδáê∞èñ_dumbbell_bench_press.png,exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/25_덤벨_벤치프레스_dumbbell_bench_press.png,exercise_images/local_downloads/dumbbell_bench_press.png,128442,330,330,slug
one_arm_dumbbell_bench_press,원암 덤벨 벤치프레스,원암덤벨벤치프레스,assets/exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/26_∞¢É∞òö_δìñδ▓¿_δ▓ñ∞╣ÿφöäδáê∞èñ_one_arm_dumbbell_bench_press.png,exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/26_원암_덤벨_벤치프레스_one_arm_dumbbell_bench_press.png,exercise_images/local_downloads/one_arm_dumbbell_bench_press.png,125894,330,330,slug
incline_dumbbell_press,인클라인 덤벨 프레스,인클라인덤벨프레스,assets/exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/27_∞¥╕φü┤δ¥╝∞¥╕_δìñδ▓¿_φöäδáê∞èñ_incline_dumbbell_press.png,exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/27_인클라인_덤벨_프레스_incline_dumbbell_press.png,exercise_images/local_downloads/incline_dumbbell_press.png,128555,330,330,slug
one_arm_incline_dumbbell_press,원암 인클라인 덤벨 프레스,원암인클라인덤벨프레스,assets/exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/28_∞¢É∞òö_∞¥╕φü┤δ¥╝∞¥╕_δìñδ▓¿_φöäδáê∞èñ_one_arm_incline_dumbbell_press.png,exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/28_원암_인클라인_덤벨_프레스_one_arm_incline_dumbbell_press.png,exercise_images/local_downloads/one_arm_incline_dumbbell_press.png,134293,330,330,slug
flat_dumbbell_fly,플랫 덤벨 플라이,플랫덤벨플라이,assets/exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/29_φöîδ₧½_δìñδ▓¿_φöîδ¥╝∞¥┤_flat_dumbbell_fly.png,exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/29_플랫_덤벨_플라이_flat_dumbbell_fly.png,exercise_images/local_downloads/flat_dumbbell_fly.png,127231,330,330,slug
