exercise_name,stable_key,image_asset_name,mapping_confidence,needs_review,reason
스트레이트암 풀다운,,exercise_images/local_downloads/straight_arm_pulldown.png,HIGH,0,korean_name=localizedName.ko
원암 스트레이트암 풀다운,,exercise_images/local_downloads/one_arm_straight_arm_pulldown.png,HIGH,0,korean_name=localizedName.ko
시티드 원암 케이블 로우,,,NONE,1,no_safe_match
메도우즈 로우,,,NONE,1,no_safe_match
인버티드 로우,,exercise_images/local_downloads/inverted_row.png,HIGH,0,korean_name=localizedName.ko
링 로우,,exercise_images/local_downloads/ring_row.png,HIGH,0,korean_name=localizedName.ko
네거티브 풀업,,exercise_images/local_downloads/negative_pull_up.png,HIGH,0,korean_name=localizedName.ko
원암 케이블 컬,,exercise_images/local_downloads/one_arm_cable_curl.png,HIGH,0,korean_name=localizedName.ko
케이블 컬,,exercise_images/local_downloads/cable_curl.png,HIGH,0,korean_name=localizedName.ko
인클라인 덤벨 컬,,exercise_images/local_downloads/incline_dumbbell_curl.png,HIGH,0,korean_name=localizedName.ko
스파이더 컬,,exercise_images/local_downloads/spider_curl.png,HIGH,0,korean_name=localizedName.ko
EZ바 컬,,exercise_images/local_downloads/ez_bar_curl.png,HIGH,0,korean_name=localizedName.ko
크로스바디 해머 컬,,exercise_images/local_downloads/crossbody_hammer_curl.png,HIGH,0,korean_name=localizedName.ko
로프 해머 컬,,exercise_images/local_downloads/rope_hammer_curl.png,HIGH,0,korean_name=localizedName.ko
원암 케이블 트라이셉스 푸시다운,,exercise_images/local_downloads/one_arm_cable_triceps_pushdown.png,HIGH,0,korean_name=localizedName.ko
라잉 트라이셉스 익스텐션,,,NONE,1,no_safe_match
원암 덤벨 오버헤드 트라이셉스 익스텐션,,,NONE,1,no_safe_match
덤벨 킥백,,,NONE,1,no_safe_match
클로즈그립 벤치프레스,,exercise_images/local_downloads/close_grip_bench_press.png,HIGH,0,korean_name=localizedName.ko
벤치 딥스,,exercise_images/local_downloads/bench_dips.png,HIGH,0,korean_name=localizedName.ko
리버스 리스트 컬,,exercise_images/local_downloads/reverse_wrist_curl.png,HIGH,0,korean_name=localizedName.ko
스플릿 스쿼트,,,NONE,1,no_safe_match
프론트풋 엘리베이티드 스플릿 스쿼트,,,NONE,1,no_safe_match
리어풋 엘리베이티드 스플릿 스쿼트,,,NONE,1,no_safe_match
스미스 머신 스쿼트,,exercise_images/local_downloads/smith_machine_squat.png,HIGH,0,korean_name=localizedName.ko
스미스 머신 런지,,exercise_images/local_downloads/smith_machine_lunge.png,HIGH,0,korean_name=localizedName.ko
덤벨 루마니안 데드리프트,,exercise_images/local_downloads/dumbbell_romanian_deadlift.png,HIGH,0,korean_name=localizedName.ko
원암 덤벨 RDL,,exercise_images/local_downloads/rdl_one_arm_dumbbell_rdl.png,HIGH,0,korean_name=localizedName.ko
킥스탠스 RDL,,,NONE,1,no_safe_match
B-스탠스 RDL,,exercise_images/local_downloads/rdl_b_stance_rdl.png,HIGH,0,korean_name=localizedName.ko
글루트 브릿지,,,NONE,1,no_safe_match
싱글 레그 글루트 브릿지,single_leg_glute_bridge,,NONE,1,no_safe_match
케이블 풀스루,,exercise_images/local_downloads/cable_pull_through.png,HIGH,0,korean_name=localizedName.ko
케이블 킥백,,exercise_images/local_downloads/cable_kickback.png,HIGH,0,korean_name=localizedName.ko
힙 어브덕션,,,NONE,1,no_safe_match
힙 어덕션,,,NONE,1,no_safe_match
레그 익스텐션,,exercise_images/local_downloads/leg_extension.png,HIGH,0,korean_name=localizedName.ko
스탠딩 레그 컬,,exercise_images/local_downloads/standing_leg_curl.png,HIGH,0,korean_name=localizedName.ko
맨몸 스쿼트,,exercise_images/local_downloads/bodyweight_squat.png,HIGH,0,korean_name=localizedName.ko
월싯,,exercise_images/local_downloads/wall_sit.png,HIGH,0,korean_name=localizedName.ko
리버스 노르딕 컬,,exercise_images/local_downloads/reverse_nordic_curl.png,HIGH,0,korean_name=localizedName.ko
행잉 레그 레이즈,,exercise_images/local_downloads/hanging_leg_raise.png,HIGH,0,korean_name=localizedName.ko
캡틴체어 레그 레이즈,,exercise_images/local_downloads/captains_chair_leg_raise.png,HIGH,0,korean_name=localizedName.ko
V업,,exercise_images/local_downloads/v_up.png,HIGH,0,korean_name=localizedName.ko
할로우 바디 홀드,,exercise_images/local_downloads/hollow_body_hold.png,HIGH,0,korean_name=localizedName.ko
슈퍼맨,,,NONE,1,no_safe_match
버드독,bird_dog,exercise_images/local_downloads/bird_dog.png,HIGH,0,stableKey=image_slug
마운틴 클라이머,,exercise_images/local_downloads/mountain_climber.png,HIGH,0,korean_name=localizedName.ko
케틀벨 스윙,,exercise_images/local_downloads/kettlebell_swing.png,HIGH,0,korean_name=localizedName.ko
하프 닐링 케틀벨 원암 프레스,,,NONE,1,no_safe_match
하프 닐링 원암 프레스,,exercise_images/local_downloads/half_kneeling_one_arm_press.png,HIGH,0,korean_name=localizedName.ko
하프 닐링 프레스,,,NONE,1,no_safe_match
하프 닐링 케틀벨 프레스,,,NONE,1,no_safe_match
원암 하프 닐링 프레스,,,NONE,1,no_safe_match
래터럴 바운드,lateral_bound,exercise_images/local_downloads/lateral_bound.png,HIGH,0,stableKey=image_slug
박스 점프,,exercise_images/local_downloads/box_jump.png,HIGH,0,korean_name=localizedName.ko
점프 런지,,exercise_images/local_downloads/jump_lunge.png,HIGH,0,korean_name=localizedName.ko
불가리안 스플릿 스쿼트,,,NONE,1,no_safe_match
코펜하겐 플랭크,,exercise_images/local_downloads/copenhagen_plank.png,HIGH,0,korean_name=localizedName.ko
노르딕 햄스트링 컬,,exercise_images/local_downloads/nordic_hamstring_curl.png,HIGH,0,korean_name=localizedName.ko
드롭 점프,,exercise_images/local_downloads/drop_jump.png,HIGH,0,korean_name=localizedName.ko
스플릿 스텝 리액션,,exercise_images/local_downloads/split_step_reaction.png,HIGH,0,korean_name=localizedName.ko
스플릿 스텝,,exercise_images/local_downloads/split_step.png,HIGH,0,korean_name=localizedName.ko
발목/고관절 가동성,,exercise_images/local_downloads/ankle_hip_mobility.png,HIGH,0,korean_name=localizedName.ko
랜덤 방향전환 드릴,,exercise_images/local_downloads/random_direction_change_drill.png,HIGH,0,korean_name=localizedName.ko
사이드 스텝 후 정지,,exercise_images/local_downloads/side_step_stop.png,HIGH,0,korean_name=localizedName.ko
