exerciseStableKey,exerciseName,sourceStableKey,relationCount,ofiAxisCount,ofiScoreCount,doseCount,snapshotCount,cautionCount,badmintonFatigueCostCount,sourceProfileSha256,reconciliationAction,status
ex_74c2d13b,계단 오르기,ex_74c2d13b,16,5,5,1,1,0,1,2fcb19e970366e2ccea79b7d9dc1aa89f9067fdb64f5f4ee3620ad85ed4231da,PRESERVE_UNCHANGED,PASS
ex_752b45ae,멀티셔틀 풋워크,ex_752b45ae,19,5,5,1,1,3,1,a2d617715bb5b1eb24c73d6cf2c290107edd62f6df55d29a135263ae6675f1bd,PRESERVE_UNCHANGED,PASS
ex_767e188e,아놀드 프레스,ex_767e188e,16,5,5,1,1,0,1,e181665776abc37d2d8685c1eb6da638a9d51e867fc32af971690ea7e73d0020,PRESERVE_UNCHANGED,PASS
ex_7814843a,원암 덤벨 숄더프레스,ex_7814843a,16,5,5,1,1,0,1,2ed46ea099525529ab0dd8a880d891fe99acde883bccbc629ef535c3a5b74c98,PRESERVE_UNCHANGED,PASS
ex_79f3bdbe,덤벨 숄더프레스,ex_79f3bdbe,16,5,5,1,1,0,1,7fbdb95998fd2256e03ae420510c2464ded7b2612ebbcc71de3539d7ce27f3d0,PRESERVE_UNCHANGED,PASS
ex_7ce96a7a,프론트풋 엘리베이티드 스플릿 스쿼트,ex_7ce96a7a,16,5,5,1,1,0,1,ca1232196979b8d405cca019508aad872f3bf34343c0033aaa6097eb4aa307c2,PRESERVE_UNCHANGED,PASS
ex_7deabeba,리어델트 케이블 플라이,ex_7deabeba,16,5,5,1,1,0,1,55afe36b48ac126ac413895a4c9be69f0b61cc5b3f3a7e3b4584ebe177064bf0,PRESERVE_UNCHANGED,PASS
ex_85b2ac56,원암 덤벨 컬,ex_85b2ac56,16,5,5,1,1,0,1,b4b6247bc40ec452827c5440aeb63e19697891c42c4e886cd442c1d7e32aebb9,PRESERVE_UNCHANGED,PASS
ex_85f12271,원레그 박스 스쿼트,ex_85f12271,16,5,5,1,1,0,1,e38ff4da691958bc30364f938d6787100ded19b924375cc17764b27ead0958e5,PRESERVE_UNCHANGED,PASS
ex_86323ed6,원암 해머 컬,ex_86323ed6,16,5,5,1,1,0,1,33b8d91e682835c982ff158e7a2a778793b8689e0e68b0563aa593d2cdffd40b,PRESERVE_UNCHANGED,PASS
ex_8633d8db,EZ바 컬,ex_8633d8db,16,5,5,1,1,0,1,5a9d550d85a171ef01883352a2544aaa02581c6062577d24139225ca1e04f5cd,PRESERVE_UNCHANGED,PASS
ex_8824026f,원레그 레그 컬,ex_8824026f,16,5,5,1,1,0,1,2a12712fc27b62fc7b9e4e2d266452a0618fbf0fcb2bb73bc47848a3e58e2279,PRESERVE_UNCHANGED,PASS
ex_8a3800f1,리버스 노르딕 컬,ex_8a3800f1,17,5,5,1,1,1,1,48adcd0bcb6f338019920d5491c8fcd790053abe4099a73291e89d7357078762,PRESERVE_UNCHANGED,PASS
ex_8e4bf08e,Yates Row,ex_8e4bf08e,16,5,5,1,1,0,1,c59b1335c3b132580dfff775b5aa540e5055d816b8c0b2e34647d710ae014faf,PRESERVE_UNCHANGED,PASS
ex_8e69fc74,스플릿 스텝 리액션,ex_8e69fc74,18,5,5,1,1,2,1,02e0b05e06069e9fd0e310a91aec90988322e17a3cd3550e5e57725714409c74,PRESERVE_UNCHANGED,PASS
ex_91b749b3,플랫 덤벨 플라이,ex_91b749b3,16,5,5,1,1,0,1,eb23af3cad7892b89098e8ad621d38ced030025a967fddb531818128d8e18e9a,PRESERVE_UNCHANGED,PASS
ex_91d8430b,30초 반복 스매시 테스트,ex_91d8430b,16,5,5,1,1,0,1,fd4f46fa59efc30bf48c9b91b93ec9fa51e1265e4bf3dddc05a5e3111c5ead44,PRESERVE_UNCHANGED,PASS
ex_91f6958d,터키시 겟업,ex_91f6958d,16,5,5,1,1,0,1,eabf943a343653c27759bddd851f8d653a3ac6a31ac804af774bbeebb64f79b6,PRESERVE_UNCHANGED,PASS
ex_93538692,덤벨 래터럴 레이즈,ex_93538692,16,5,5,1,1,0,1,2d02b0688d64b21ca24c5feaccc3194b8b5ae0aa46fab6f8a4b9548312d7eb60,PRESERVE_UNCHANGED,PASS
ex_95028bfe,덤벨 리스트 컬,ex_95028bfe,16,5,5,1,1,0,1,1baed7ef9cbeb6d49d5d3bddf1bdfb2f5e2d02475173358d75446fcec06c7ffe,PRESERVE_UNCHANGED,PASS
ex_9b132c23,사이드 스텝 후 정지,ex_9b132c23,16,5,5,1,1,0,1,f6e8c82a5f12553b748e18b8317bb9278c08cbe51174f9547f83a0c5b4333d24,PRESERVE_UNCHANGED,PASS
ex_9bd6dddb,줄넘기,ex_9bd6dddb,16,5,5,1,1,0,1,e48b658b6716217d528e81ce26f6095862dd3ebdf6a35ceacbb9181d9f4b964b,PRESERVE_UNCHANGED,PASS
ex_9f283612,원암 인클라인 덤벨 프레스,ex_9f283612,16,5,5,1,1,0,1,ad128a076e4edd47305651164b06cfd025e6eabb1523a1e3484a0d44601d64d7,PRESERVE_UNCHANGED,PASS
ex_a091b9fe,원레그 레그 프레스,ex_a091b9fe,16,5,5,1,1,0,1,a7bd3f5d03c9a6db5249c4b6b8bd24d999c64d0dcc854f51a92908f55437f3d4,PRESERVE_UNCHANGED,PASS
ex_a12de111,A스킵,ex_a12de111,17,5,5,1,1,1,1,41ef9ad212116bc501e4233bb4bb576d07813ec9d04fdf4083300b73e91ae749,PRESERVE_UNCHANGED,PASS
ex_a12de4d2,B스킵,ex_a12de4d2,17,5,5,1,1,1,1,a495b59482f3e9c7c3b1b2b73fe22532d8583df5ac862bab505c466888403c13,PRESERVE_UNCHANGED,PASS
ex_a345e30b,캡틴체어 레그 레이즈,ex_a345e30b,16,5,5,1,1,0,1,e7c07ffd33cb159b7610ae3816bca03026bcb3ab468e2add719f1ffe553ca48f,PRESERVE_UNCHANGED,PASS
ex_a3ddd8ac,라인 홉,ex_a3ddd8ac,16,5,5,1,1,0,1,412ebe591626a3c3f5a055ec99acf2ccfcb2cb2470a558890efa3f174ea386ff,PRESERVE_UNCHANGED,PASS
ex_a4040be3,셔틀런,ex_a4040be3,17,5,5,1,1,1,1,1eb88e1e5fa6624d6894925db5aba7c675920bb1b24f02e63f2dee0e0e539e4b,PRESERVE_UNCHANGED,PASS
ex_a412dd45,앙클링,ex_a412dd45,17,5,5,1,1,1,1,f5a8b87d84c6844bda7b459bb3f62bf19b995145317a886491c1816486a2140a,PRESERVE_UNCHANGED,PASS
ex_a4350c0f,콘 드릴,ex_a4350c0f,17,5,5,1,1,1,1,3ccb717a3501844d24631209231d9df9b93b05b5f0182323d88cfae1b0c72b7f,PRESERVE_UNCHANGED,PASS
ex_a44ae2ca,플랭크,ex_a44ae2ca,16,5,5,1,1,0,1,b6c12ec3a94a0681e07860ccd2b5a5133378334d8ea1f781c468174a1c418c3b,PRESERVE_UNCHANGED,PASS
ex_a60496be,원암 리어델트 케이블 플라이,ex_a60496be,16,5,5,1,1,0,1,ba740d5924ff1dc72930078a1b6ff649ccc9e737bc8f6c9fa94ac2532a2408ed,PRESERVE_UNCHANGED,PASS
ex_a611010d,코사크 스쿼트,ex_a611010d,16,5,5,1,1,0,1,ffd2b6ff42e0cd5d997299fb109f1d39d9add85caeac064ded902c0fe868d7c7,PRESERVE_UNCHANGED,PASS
ex_a61f1e96,인클라인 덤벨 프레스,ex_a61f1e96,16,5,5,1,1,0,1,05ddecca5d0d6d4dd83769c54f3430cc67078060ea4dd4cfc4fd9d7b62ffd2d2,PRESERVE_UNCHANGED,PASS
ex_a61f307a,인클라인 덤벨 플라이,ex_a61f307a,16,5,5,1,1,0,1,c539a05f8337bbc9b6f63c79af78a4666502e16ba07eba6a8ed5716eb4c6b3cc,PRESERVE_UNCHANGED,PASS
ex_a76f20b6,시티드 원암 케이블 로우,ex_a76f20b6,16,5,5,1,1,0,1,a32c1db31e55ed0aff5f03b667934e604f9b989fd5c3b45de571060b40d14b60,PRESERVE_UNCHANGED,PASS
ex_a8385c4a,코펜하겐 플랭크,ex_a8385c4a,16,5,5,1,1,0,1,de3ba87c353a22d12d3e9bad484d210b6b4b133e7411c3acfb192092bdc6e026,PRESERVE_UNCHANGED,PASS
ex_a9b52886,마운틴 클라이머,ex_a9b52886,16,5,5,1,1,0,1,612110c3eee4e333fd3620a054f186ae03556dae0b9d613c862b52bbf2201a6b,PRESERVE_UNCHANGED,PASS
ex_ab468462,레그 프레스,ex_ab468462,16,5,5,1,1,0,1,e331bc6ee562ffc744303edf1dbfd2e6c0cce34f11eea551d1583e39f92ce5e8,PRESERVE_UNCHANGED,PASS
ex_ab918e2b,실내 자전거,ex_ab918e2b,16,5,5,1,1,0,1,8e890e84ec416d1b6dbf965b48abe53ba6adc3e8fcbc04454b026beeee0dbfc1,PRESERVE_UNCHANGED,PASS
ex_aca9d312,러닝 풋살,ex_aca9d312,18,5,5,1,1,2,1,2a200ca5ab87b0f66ce6104ed2aa7fe4b2ef25e720add652de1712ec96ccaa8f,PRESERVE_UNCHANGED,PASS
ex_ae9ecdbc,배드민턴,ex_ae9ecdbc,17,5,5,1,1,1,1,c90242d2374b4f120dd3152953c93804e85eb0103eb2faec0081547a49ac8591,PRESERVE_UNCHANGED,PASS
ex_b076570e,원암 케이블 래터럴 레이즈,ex_b076570e,16,5,5,1,1,0,1,3364ebfc428b598f3490e15094e4aa8ecb9d44244200723ab24567d107a81a3a,PRESERVE_UNCHANGED,PASS
ex_b3f447be,행잉 레그 레이즈,ex_b3f447be,16,5,5,1,1,0,1,d6cbcdaf713222cee7dc2d33599fbce5da1077882c0cc1d25c27dc5a3863f2f1,PRESERVE_UNCHANGED,PASS
ex_b4b198de,래터럴 런지,ex_b4b198de,16,5,5,1,1,0,1,025d62da00cc3c7889d1a6321d83eb984b40f49e13bc258a78d8d86368081706,PRESERVE_UNCHANGED,PASS
ex_b59bed7d,스탠딩 레그 컬,ex_b59bed7d,16,5,5,1,1,0,1,afd86d6a37d27481708648bd427e93dd34859c3e43f5cb1097826e3cf4ce786b,PRESERVE_UNCHANGED,PASS
ex_b69ab702,크로스바디 해머 컬,ex_b69ab702,16,5,5,1,1,0,1,5df30173606d76ad79a6a9e16a3a6288805145d4ed78e1f25a61db93a2857d6d,PRESERVE_UNCHANGED,PASS
ex_b76d3f92,케이블 래터럴 레이즈,ex_b76d3f92,16,5,5,1,1,0,1,66219ea4358b0766edafc5bb0f6dc7c6825ee9bb95025df303dedfa22cac235a,PRESERVE_UNCHANGED,PASS
ex_b78a8f95,레그 익스텐션,ex_b78a8f95,16,5,5,1,1,0,1,e4493669e086ab91e3c658a1d0c08d1855013c9d346862c9b6e1b72fe940ebc8,PRESERVE_UNCHANGED,PASS
ex_badminton_lesson,배드민턴 레슨,ex_badminton_lesson,16,5,5,1,1,0,1,db9b3cd32c0cb027fe1e21f859876ae41b95538a63fe2cef16794619df35d156,PRESERVE_UNCHANGED,PASS
ex_bb4b4276,등받이 없는 덤벨 시티드 숄더프레스,ex_bb4b4276,16,5,5,1,1,0,1,63a79995a5a89a9ad700264ce1f8cc437950839a55c33bc38835e64a94753158,PRESERVE_UNCHANGED,PASS
ex_bc84eb7f,6방향 랜덤 콕줍기,ex_bc84eb7f,18,5,5,1,1,2,1,e464aedce4fe9212faf44e6a70b17a4138d10d87081c4f31d225730339ca8113,PRESERVE_UNCHANGED,PASS
ex_c1a81cb2,로프 해머 컬,ex_c1a81cb2,16,5,5,1,1,0,1,011dfa6d8bb89942ae28222dd306716f90e1f5a11dddf94725f27c1ce0db6df6,PRESERVE_UNCHANGED,PASS
ex_c1bf2aa8,안세영 참고 고강도 랠리 풋워크,ex_c1bf2aa8,19,5,5,1,1,3,1,6cf6be0a803a87dd6531e65c39f9f73a694d63bd45474729aa532923fe31315d,PRESERVE_UNCHANGED,PASS
ex_c365e5e2,원암 스트레이트암 풀다운,ex_c365e5e2,16,5,5,1,1,0,1,7cb9785b8bab304d4dbac83e0f7d678625fdb3ce7f9949d0343b8eb0a796bb64,PRESERVE_UNCHANGED,PASS
ex_c4535de3,스캡 푸시업,ex_c4535de3,16,5,5,1,1,0,1,25b4588ef112ccd226a1fdb7a4052c8d36980659245beab9705b088c1b30fc22,PRESERVE_UNCHANGED,PASS
ex_c4ea0a2a,스킵 바운드,ex_c4ea0a2a,17,5,5,1,1,1,1,934a17130e93c3bff86700bce62dcfb2664a64463bd267099bcd3c8c725538b4,PRESERVE_UNCHANGED,PASS
ex_c5043892,프론트 스쿼트,ex_c5043892,17,5,5,1,1,1,1,1f0d55b32eca43c41790306375ff57f0657b592e415b9f41cb7d0f1f9f956bb6,PRESERVE_UNCHANGED,PASS
ex_c536edc2,원암 케이블 숄더프레스,ex_c536edc2,16,5,5,1,1,0,1,279b18aa804fe3563e1453da07781678259853b3e3e9a7c9b6de434bffd4a83d,PRESERVE_UNCHANGED,PASS
ex_c5c2fdef,스트라이드,ex_c5c2fdef,17,5,5,1,1,1,1,4ac477bd4549efa93ba8d363631da49d851afa4986dfe830b69391fc7934d99c,PRESERVE_UNCHANGED,PASS
ex_c5f4c242,랜덤 비프 풋워크,ex_c5f4c242,18,5,5,1,1,2,1,c5a5b9fa9819974231b1fddaf1c2c8c055c57a47da0bd58285707fe8c55c2a15,PRESERVE_UNCHANGED,PASS
ex_c62c0716,컨센트레이션 컬,ex_c62c0716,16,5,5,1,1,0,1,eb84ab04dfb76d6949e9ec43f371f2f8e71e70bea6e25d74c10a74ac4f3e599b,PRESERVE_UNCHANGED,PASS
ex_c6d9efef,스플릿 스텝,ex_c6d9efef,18,5,5,1,1,2,1,49d8e49e891565e35f5d867a9fe4c02bf9d8a926d85e8f275012eb710f281002,PRESERVE_UNCHANGED,PASS
ex_c7977dfd,6코너 풋워크 최대반복 테스트,ex_c7977dfd,19,5,5,1,1,3,1,45abbba4d59e78b5cbd653b24b1d732e590d6dd6be349a517b5cbfe774b4ad0c,PRESERVE_UNCHANGED,PASS
ex_c8bcf3ce,리버스 런지,ex_c8bcf3ce,16,5,5,1,1,0,1,f46a7b58ded829641291118c08d5f333de0d8cdb3a4bfe1a770780a3a1bcebca,PRESERVE_UNCHANGED,PASS
ex_ca5cce66,스트레이트암 풀다운,ex_ca5cce66,16,5,5,1,1,0,1,bbc350cbebd86e35d50c5da5409593910d3709a5566b7e86f7ed1c4fd18a1746,PRESERVE_UNCHANGED,PASS
ex_cb3c4dc2,맨몸 스쿼트,ex_cb3c4dc2,16,5,5,1,1,0,1,4c7410c27022decfdc4b49c4b27eb5db5c78150d9939e1a32b03435cd50c98e4,PRESERVE_UNCHANGED,PASS
ex_d5048362,인클라인 덤벨 컬,ex_d5048362,16,5,5,1,1,0,1,eafa614a98b970996dc03ac98781e6785d0947b8e423ab2caeea06b54d0e0cc6,PRESERVE_UNCHANGED,PASS
ex_d5bdffe1,데드버그,ex_d5bdffe1,16,5,5,1,1,0,1,6ccb63cb13e5605fe30d16bb3ff00127b9e1a41a5e771b1f5fbb0adac4857e6a,PRESERVE_UNCHANGED,PASS
ex_d60745b4,원레그 레그 익스텐션,ex_d60745b4,16,5,5,1,1,0,1,aa220e45b06a6d20c45ef7a98f32d7e6834fa8124929b4d37785f0f248e2b65a,PRESERVE_UNCHANGED,PASS
ex_d6726746,드롭 점프,ex_d6726746,16,5,5,1,1,0,1,dd869bfc080dc399d507d1cfaf7adcf2397d943a06f0f791e0813ac6844c4790,PRESERVE_UNCHANGED,PASS
ex_d67e5761,피스톨 스쿼트,ex_d67e5761,16,5,5,1,1,0,1,b00c6a6be873f34e1ab74a1cea0ef32fce747e5232859cc1a97e7cbd10b836d3,PRESERVE_UNCHANGED,PASS
ex_d7c90536,로잉머신,ex_d7c90536,16,5,5,1,1,0,1,11f4b5ee0410ff410e9330e3f222971106d8ad5cbece987b97bd81d7d7a8741d,PRESERVE_UNCHANGED,PASS
ex_d9e141e4,박스 점프,ex_d9e141e4,16,5,5,1,1,0,1,d39be6e8da855ba8e944fc664e9b1ea816e704d21c575983b2e1b43fd15da0e0,PRESERVE_UNCHANGED,PASS
ex_da56a4fe,덤벨 킥백,ex_da56a4fe,16,5,5,1,1,0,1,6b246584e4825f4b751f021650ab04913130cbd05a1727bca1f4b0ecbb959123,PRESERVE_UNCHANGED,PASS
ex_dc9e5953,랫풀다운,ex_dc9e5953,16,5,5,1,1,0,1,ddd3052e45c210c50f55630f147faaa4bd66439b70ee1bc06a9e9f365f575f68,PRESERVE_UNCHANGED,PASS
ex_dd16e07a,스트레칭,ex_dd16e07a,16,5,5,1,1,0,1,3b52908c9adbcd02c82aaf6cab2810519e69faadd098a323b7f5ab7b0ec6c511,PRESERVE_UNCHANGED,PASS
ex_de46b7f6,바벨 로우,ex_de46b7f6,16,5,5,1,1,0,1,3fd0adaf186f018caccbb1fc2d929c52dc0b14ec45c1533e18851bd29f9bbadb,PRESERVE_UNCHANGED,PASS
ex_debf6a8b,다이아몬드 푸시업,ex_debf6a8b,16,5,5,1,1,0,1,3084123d15d8a5c214d8beaa2cb20a123ecf1a515c3a3bba69a18c85cf57ad29,PRESERVE_UNCHANGED,PASS
ex_deca2b61,벤치 딥스,ex_deca2b61,16,5,5,1,1,0,1,951c31149830fed57f717a4d1daf4bbcdbad9a0b3f09c4c22086ee7770f5e60c,PRESERVE_UNCHANGED,PASS
ex_df966b45,점프 런지,ex_df966b45,16,5,5,1,1,0,1,e2dae15cba55be9629d119e6f72a9e8c340bd4d19d2561283a30a819a59109ce,PRESERVE_UNCHANGED,PASS
ex_e0b1e364,원암 덤벨 RDL,ex_e0b1e364,16,5,5,1,1,0,1,525c8d72068c0e1d2b74eb4f0a4b0ee72a75d7c5af35a741bb911feeb52589ba,PRESERVE_UNCHANGED,PASS
ex_e1894690,스캡 풀업,ex_e1894690,16,5,5,1,1,0,1,3dd88c693a411a061a11df2381348b2f01874e4d586c9ae5d699ed47f58e5efe,PRESERVE_UNCHANGED,PASS
ex_e2efd0fe,불가리안 스플릿 스쿼트,ex_e2efd0fe,16,5,5,1,1,0,1,6ab9bf50f94141a24cd1da018bdb0d0646fb4c0378add3c77ecade6a15357cf5,PRESERVE_UNCHANGED,PASS
